imgIndex,Detector,Descriptor,NumMatchBoxes,CameraTTC,LidarTTC,LidarDistance
4,Orb,Freak,11,10.8599,16.6787,7.839
5,Orb,Freak,9,161.726,15.5779,7.789
6,Orb,Freak,10,12.8725,11.8831,7.724
7,Orb,Freak,9,-inf,11.7831,7.659
8,Orb,Freak,9,8.93618,13.5768,7.603
9,Orb,Freak,8,13.3202,14.2453,7.55
10,Orb,Freak,9,-67.2766,11.3394,7.484
11,Orb,Freak,8,7.90955,13.0298,7.427
12,Orb,Freak,7,nan,8.53605,7.341
13,Orb,Freak,9,6.57691,9.95617,7.268
14,Orb,Freak,8,54.268,9.72157,7.194
15,Orb,Freak,9,8.60003,8.16898,7.107
16,Orb,Freak,10,9.6657,10.3515,7.039
17,Orb,Freak,9,11.3219,9.16182,6.963
18,Orb,Freak,8,24.1855,8.82697,6.885
1,Orb,Sift,6,12.3671,12.3137,8.004
2,Orb,Sift,11,10.6151,11.6706,7.936
3,Orb,Sift,8,10.6861,15.7721,7.886
4,Orb,Sift,11,-inf,16.6787,7.839
5,Orb,Sift,9,39.391,15.5779,7.789
6,Orb,Sift,10,20.8013,11.8831,7.724
7,Orb,Sift,9,-inf,11.7831,7.659
8,Orb,Sift,9,9.45873,13.5768,7.603
9,Orb,Sift,8,15.1236,14.2453,7.55
10,Orb,Sift,9,11.0582,11.3394,7.484
11,Orb,Sift,8,9.62025,13.0298,7.427
12,Orb,Sift,7,-inf,8.53605,7.341
13,Orb,Sift,9,8.06225,9.95617,7.268
14,Orb,Sift,8,13.6268,9.72157,7.194
15,Orb,Sift,9,19.071,8.16898,7.107
16,Orb,Sift,10,9.5731,10.3515,7.039
17,Orb,Sift,9,18.702,9.16182,6.963
18,Orb,Sift,8,8.42813,8.82697,6.885
1,Akaze,Brisk,6,11.9238,12.3137,8.004
2,Akaze,Brisk,11,15.6758,11.6706,7.936
3,Akaze,Brisk,8,13.3648,15.7721,7.886
4,Akaze,Brisk,11,14.3818,16.6787,7.839
5,Akaze,Brisk,9,14.8955,15.5779,7.789
6,Akaze,Brisk,10,14.7346,11.8831,7.724
7,Akaze,Brisk,9,15.9435,11.7831,7.659
8,Akaze,Brisk,9,13.9169,13.5768,7.603
9,Akaze,Brisk,8,14.0958,14.2453,7.55
10,Akaze,Brisk,9,11.8806,11.3394,7.484
11,Akaze,Brisk,8,12.3819,13.0298,7.427
12,Akaze,Brisk,7,10.3881,8.53605,7.341
13,Akaze,Brisk,9,10.0845,9.95617,7.268
14,Akaze,Brisk,8,10.0393,9.72157,7.194
15,Akaze,Brisk,9,10.0029,8.16898,7.107
16,Akaze,Brisk,10,10.375,10.3515,7.039
17,Akaze,Brisk,9,9.644,9.16182,6.963
18,Akaze,Brisk,8,8.91482,8.82697,6.885
1,Akaze,Brief,6,13.4291,12.3137,8.004
2,Akaze,Brief,11,14.9009,11.6706,7.936
3,Akaze,Brief,8,13.6094,15.7721,7.886
4,Akaze,Brief,11,13.8261,16.6787,7.839
5,Akaze,Brief,9,14.6869,15.5779,7.789
6,Akaze,Brief,10,13.9552,11.8831,7.724
7,Akaze,Brief,9,16.06,11.7831,7.659
8,Akaze,Brief,9,14.1664,13.5768,7.603
9,Akaze,Brief,8,13.4873,14.2453,7.55
10,Akaze,Brief,9,11.5913,11.3394,7.484
11,Akaze,Brief,8,12.37,13.0298,7.427
12,Akaze,Brief,7,11.5829,8.53605,7.341
13,Akaze,Brief,9,10.0855,9.95617,7.268
14,Akaze,Brief,8,9.81836,9.72157,7.194
15,Akaze,Brief,9,9.26087,8.16898,7.107
16,Akaze,Brief,10,9.74345,10.3515,7.039
17,Akaze,Brief,9,9.24831,9.16182,6.963
18,Akaze,Brief,8,9.12903,8.82697,6.885
1,Akaze,Orb,6,12.4519,12.3137,8.004
2,Akaze,Orb,11,14.7513,11.6706,7.936
3,Akaze,Orb,8,13.2831,15.7721,7.886
4,Akaze,Orb,11,14.38,16.6787,7.839
5,Akaze,Orb,9,15.9607,15.5779,7.789
6,Akaze,Orb,10,13.8919,11.8831,7.724
7,Akaze,Orb,9,15.3892,11.7831,7.659
8,Akaze,Orb,9,13.9668,13.5768,7.603
9,Akaze,Orb,8,13.493,14.2453,7.55
10,Akaze,Orb,9,11.5725,11.3394,7.484
11,Akaze,Orb,8,12.1541,13.0298,7.427
12,Akaze,Orb,7,11.189,8.53605,7.341
13,Akaze,Orb,9,10.0841,9.95617,7.268
14,Akaze,Orb,8,10.3582,9.72157,7.194
15,Akaze,Orb,9,9.94151,8.16898,7.107
16,Akaze,Orb,10,9.67411,10.3515,7.039
17,Akaze,Orb,9,9.06452,9.16182,6.963
18,Akaze,Orb,8,9.10298,8.82697,6.885
1,Akaze,Freak,6,12.2391,12.3137,8.004
2,Akaze,Freak,11,13.9229,11.6706,7.936
3,Akaze,Freak,8,13.8578,15.7721,7.886
4,Akaze,Freak,11,14.0598,16.6787,7.839
5,Akaze,Freak,9,15.9607,15.5779,7.789
6,Akaze,Freak,10,14.4861,11.8831,7.724
7,Akaze,Freak,9,15.3508,11.7831,7.659
8,Akaze,Freak,9,14.0438,13.5768,7.603
9,Akaze,Freak,8,13.6662,14.2453,7.55
10,Akaze,Freak,9,11.8182,11.3394,7.484
